genome	D300487	D300499
GPB:bin_000022	25.55404725348343	8.29824794776538
GPB:bin_000023	0.7346951618147303	2.3365699351673195
GPB:bin_000024	0	0
GPB:bin_000025	27.024164159537502	0
GPB:bin_000026	0	0.727703872221862
GPB:bin_000027	0	0
GPB:bin_000028	0	2.0559187095337057
GPB:bin_000029	0	0
GPB:bin_000031	0	0
GPB:bin_000032	0	0
GPB:bin_000033	3.2041644147511006	2.5183123857272633
GPB:bin_000034	26.83004408732853	24.391398110365305
GPB:bin_000035	0	1.7066301544257603
GPB:bin_000038	0	0
GPB:bin_000039	0	0
GPB:bin_000040	0	0
GPB:bin_000041	0	0
GPB:bin_000042	0	1.1718479370257655
GPB:bin_000043	0	0
GPB:bin_000045	0	0
GPB:bin_000049	0	0
GPB:bin_000051	1.4646193606547326	0
GPB:bin_000053	4.248686965642428	15.338215202170522
GPB:bin_000054	129.3779913752429	14.345780986349133
GPB:bin_000055	0	0
GPB:bin_000056	0	9.358220008365986
GPB:bin_000057	0	0
GPB:bin_000058	0	0
GPB:bin_000059	11.097353246933881	13.548368899659057
GPB:bin_000060	0	10.948403890068827
GPB:bin_000061	0	1.6411015395798167
GPB:bin_000065	0	6.911066845355476
GPB:bin_000067	4.01264095743066	9.53974216748965
GPB:bin_000069	0	0
GPB:bin_000070	65.05219839268105	179.11272543741282
GPB:bin_000071	0	0
GPB:bin_000073	0	0
GPB:bin_000074	0	23.67856911888107
GPB:bin_000075	0	4.572807592856443
GPB:bin_000076	0	0
GPB:bin_000078	0	0
GPB:bin_000080	0	1.5571117643733394
GPB:bin_000082	0	0
GPB:bin_000083	0	0
GPB:bin_000084	15.269505704105125	0
GPB:bin_000085	0	100.41618341293703
GPB:bin_000086	0	2.3405144788431067
GPB:bin_000087	1.0653588352763308	3.3649908142468794
GPB:bin_000088	0	7.6606101823014106
GPB:bin_000089	0	0
GPB:bin_000092	0	37.87874079835774
GPB:bin_000093	0	3.030854764207887
GPB:bin_000094	0	0
GPB:bin_000095	0	0
GPB:bin_000097	0	1.8607403264420812
GPB:bin_000099	0	0
GPB:bin_000100	0	0
GPB:bin_000104	39.03582497149734	20.276111357191297
GPB:bin_000111	0	23.040194344160756
GPB:bin_000112	71.44403464883897	27.95035997590993
GPB:bin_000113	0	0
GPB:bin_000114	0	0
GPB:bin_000115	1.0551342999326454	0.7794689123129562
GPB:bin_000116	0	0
GPB:bin_000119	0	0
GPB:bin_000122	0	2.597745777256839
GPB:bin_000123	0	14.225363608719306
GPB:bin_000124	35.928280827861485	14.34629330049372
GPB:bin_000125	0	0
GPB:bin_000126	22.45073388151655	5.39241411483874
GPB:bin_000127	0	0
GPB:bin_000129	0	0
GPB:bin_000130	5.0839114446461915	19.369162250422047
GPB:bin_000131	33.29332858382848	8.051800332352364
GPB:bin_000132	0	0
GPB:bin_000133	0	0
GPB:bin_000135	0	25.716301823913277
GPB:bin_000136	0	0
GPB:bin_000137	0	2.382704258443955
GPB:bin_000139	0	0
GPB:bin_000140	7.970444478099333	9.187031013481796
GPB:bin_000141	0	0
GPB:bin_000142	0	0
GPB:bin_000143	74.90306764525046	22.278288788525213
GPB:bin_000145	0	0
GPB:bin_000146	0	3.1929841646817145
GPB:bin_000147	0	26.624275384354384
GPB:bin_000148	0	0
GPB:bin_000149	0	0
GPB:bin_000151	0	0
GPB:bin_000152	0	0
GPB:bin_000153	0	0
GPB:bin_000154	0	0
GPB:bin_000155	0	0
GPB:bin_000156	0	1.4290511113261846
GPB:bin_000159	0	0
GPB:bin_000161	0	0
GPB:bin_000163	0	0
GPB:bin_000166	0	23.5258416129156
GPB:bin_000168	0	0
GPB:bin_000170	0	0
GPB:bin_000171	0	5.3832550604625595
GPB:bin_000172	0	0
GPB:bin_000173	0	0
GPB:bin_000175	0	0
GPB:bin_000176	0	0
GPB:bin_000177	0	0
GPB:bin_000178	0	0
GPB:bin_000181	0	0
GPB:bin_000183	0	0
GPB:bin_000184	0	16.7679495275534
GPB:bin_000185	0	0
GPB:bin_000186	0	1.7142519761925847
GPB:bin_000189	0	0
GPB:bin_000190	0	0
GPB:bin_000192	0	0
GPB:bin_000193	0	0.6606792279646109
GPB:bin_000194	0	3.8146305271464565
GPB:bin_000195	0	0
GPB:bin_000197	2.9463564857524287	4.332962219378702
GPB:bin_000198	0	0
GPB:bin_000199	0	0
GPB:bin_000200	0	0
GPB:bin_000202	0	0
GPB:bin_000204	0	0
GPB:bin_000206	0	0
GPB:bin_000208	77.72374115348072	96.59397326551407
GPB:bin_000209	0	13.828326000430279
GPB:bin_000210	6.164373761886641	7.109920871190025
GPB:bin_000211	0	0
GPB:bin_000212	0	0
GPB:bin_000213	0	0
GPB:bin_000215	0	5.349316361066998
GPB:bin_000217	0	3.325195347125756
TG1:bin_000010	0	0
TG1:bin_000014	0	0
TG1:bin_000020	0	0
TG1:bin_000032	0	0
TG1:bin_000047	0.7005198411582255	1.1906229144346057
TG1_21:bin_000035	0	0
TG2:bin_000003	0	0
TG2:bin_000055	0	0
TG2:bin_000059	0	0
TG2_07:bin_000029	0	0
TG2_14:bin_000017	0	0
TG2_21:bin_000001	0	0
TG2_21:bin_000011	0	0
TG2_28:bin_000031	0	0
TG3:bin_000002	0	0
TG3:bin_000068	0	0
TG3_07:bin_000004	0	0
TG3_14:bin_000007	0	0
TG3_28:bin_000041	0	0
TG3_28:bin_000042	0	0
TG3_35:bin_000005	0	0
TG3_35:bin_000033	0	0
TG4:bin_000055	0	0
TG4_14:bin_000001	0	0
TG4_21:bin_000029	0	0
TG4_21:bin_000043	0	0
TG5:bin_000031	0	3.2186672574462616
TG5:bin_000047	0	7.420596235554166
TG5_14:bin_000008	0	0
TG5_28:bin_000003	12.053989685745943	15.803373385673687
TG5_28:bin_000004	0	16.17851741812877
TG5_35:bin_000001	0	28.828781998699196
TG5_35:bin_000022	0	6.551834291982675
TG5_35:bin_000024	0	16.212726680023586
